municipio_norm,uf,municipio_ibge,codigo_ibge,regiao_intermediaria,regiao_imediata,mesorregiao
ITAPEMA,SC,Itapema,4208302,Blumenau,Itajaí,Vale do Itajaí
ITAPIRANGA,SC,Itapiranga,4208401,Chapecó,São Miguel do Oeste,Oeste Catarinense
ITAPOA,SC,Itapoá,4208450,Joinville,Joinville,Norte Catarinense
ITUPORANGA,SC,Ituporanga,4208500,Blumenau,Ituporanga,Vale do Itajaí
JABORA,SC,Jaborá,4208609,Chapecó,Joaçaba - Herval d'Oeste,Oeste Catarinense
JACINTO MACHADO,SC,Jacinto Machado,4208708,Criciúma,Araranguá,Sul Catarinense
JAGUARUNA,SC,Jaguaruna,4208807,Criciúma,Tubarão,Sul Catarinense
JARAGUA DO SUL,SC,Jaraguá do Sul,4208906,Joinville,Joinville,Norte Catarinense
JARDINOPOLIS,SC,Jardinópolis,4208955,Chapecó,Chapecó,Oeste Catarinense
JOACABA,SC,Joaçaba,4209003,Chapecó,Joaçaba - Herval d'Oeste,Oeste Catarinense
JOINVILLE,SC,Joinville,4209102,Joinville,Joinville,Norte Catarinense
JOSE BOITEUX,SC,José Boiteux,4209151,Blumenau,Ibirama - Presidente Getúlio,Vale do Itajaí
JUPIA,SC,Jupiá,4209177,Chapecó,São Lourenço do Oeste,Oeste Catarinense
LACERDOPOLIS,SC,Lacerdópolis,4209201,Chapecó,Joaçaba - Herval d'Oeste,Oeste Catarinense
LAGES,SC,Lages,4209300,Lages,Lages,Serrana
LAGUNA,SC,Laguna,4209409,Criciúma,Tubarão,Sul Catarinense
LAJEADO GRANDE,SC,Lajeado Grande,4209458,Chapecó,Chapecó,Oeste Catarinense
LAURENTINO,SC,Laurentino,4209508,Blumenau,Rio do Sul,Vale do Itajaí
LAURO MULLER,SC,Lauro Müller,4209607,Criciúma,Criciúma,Sul Catarinense
LEBON REGIS,SC,Lebon Régis,4209706,Caçador,Caçador,Oeste Catarinense
LEOBERTO LEAL,SC,Leoberto Leal,4209805,Blumenau,Ituporanga,Grande Florianópolis
LINDOIA DO SUL,SC,Lindóia do Sul,4209854,Chapecó,Concórdia,Oeste Catarinense
LONTRAS,SC,Lontras,4209904,Blumenau,Rio do Sul,Vale do Itajaí
LUIZ ALVES,SC,Luiz Alves,4210001,Blumenau,Itajaí,Vale do Itajaí
LUZERNA,SC,Luzerna,4210035,Chapecó,Joaçaba - Herval d'Oeste,Oeste Catarinense
MACIEIRA,SC,Macieira,4210050,Caçador,Caçador,Oeste Catarinense
MAFRA,SC,Mafra,4210100,Joinville,Mafra,Norte Catarinense
MAJOR GERCINO,SC,Major Gercino,4210209,Blumenau,Brusque,Grande Florianópolis
MAJOR VIEIRA,SC,Major Vieira,4210308,Joinville,Mafra,Norte Catarinense
MARACAJA,SC,Maracajá,4210407,Criciúma,Araranguá,Sul Catarinense
MARAVILHA,SC,Maravilha,4210506,Chapecó,Maravilha,Oeste Catarinense
MAREMA,SC,Marema,4210555,Chapecó,Chapecó,Oeste Catarinense
MASSARANDUBA,SC,Massaranduba,4210605,Joinville,Joinville,Norte Catarinense
MATOS COSTA,SC,Matos Costa,4210704,Caçador,Caçador,Oeste Catarinense
MELEIRO,SC,Meleiro,4210803,Criciúma,Araranguá,Sul Catarinense
MIRIM DOCE,SC,Mirim Doce,4210852,Blumenau,Rio do Sul,Vale do Itajaí
MODELO,SC,Modelo,4210902,Chapecó,Chapecó,Oeste Catarinense
MONDAI,SC,Mondaí,4211009,Chapecó,Chapecó,Oeste Catarinense
MONTE CARLO,SC,Monte Carlo,4211058,Caçador,Videira,Serrana
MONTE CASTELO,SC,Monte Castelo,4211108,Joinville,Mafra,Norte Catarinense
MORRO DA FUMACA,SC,Morro da Fumaça,4211207,Criciúma,Criciúma,Sul Catarinense
MORRO GRANDE,SC,Morro Grande,4211256,Criciúma,Criciúma,Sul Catarinense
NAVEGANTES,SC,Navegantes,4211306,Blumenau,Itajaí,Vale do Itajaí
NOVA ERECHIM,SC,Nova Erechim,4211405,Chapecó,Chapecó,Oeste Catarinense
NOVA ITABERABA,SC,Nova Itaberaba,4211454,Chapecó,Chapecó,Oeste Catarinense
NOVA TRENTO,SC,Nova Trento,4211504,Blumenau,Brusque,Grande Florianópolis
NOVA VENEZA,SC,Nova Veneza,4211603,Criciúma,Criciúma,Sul Catarinense
NOVO HORIZONTE,SC,Novo Horizonte,4211652,Chapecó,São Lourenço do Oeste,Oeste Catarinense
ORLEANS,SC,Orleans,4211702,Criciúma,Criciúma,Sul Catarinense
OTACILIO COSTA,SC,Otacílio Costa,4211751,Lages,Lages,Serrana
OURO,SC,Ouro,4211801,Chapecó,Joaçaba - Herval d'Oeste,Oeste Catarinense
OURO VERDE,SC,Ouro Verde,4211850,Chapecó,Xanxerê,Oeste Catarinense
PAIAL,SC,Paial,4211876,Chapecó,Chapecó,Oeste Catarinense
PAINEL,SC,Painel,4211892,Lages,Lages,Serrana
PALHOCA,SC,Palhoça,4211900,Florianópolis,Florianópolis,Grande Florianópolis
PALMA SOLA,SC,Palma Sola,4212007,Chapecó,São Miguel do Oeste,Oeste Catarinense
PALMEIRA,SC,Palmeira,4212056,Lages,Lages,Serrana
PALMITOS,SC,Palmitos,4212106,Chapecó,Chapecó,Oeste Catarinense
PAPANDUVA,SC,Papanduva,4212205,Joinville,Mafra,Norte Catarinense
PARAISO,SC,Paraíso,4212239,Chapecó,São Miguel do Oeste,Oeste Catarinense
PASSO DE TORRES,SC,Passo de Torres,4212254,Criciúma,Araranguá,Sul Catarinense
PASSOS MAIA,SC,Passos Maia,4212270,Chapecó,Xanxerê,Oeste Catarinense
PAULO LOPES,SC,Paulo Lopes,4212304,Florianópolis,Florianópolis,Grande Florianópolis
PEDRAS GRANDES,SC,Pedras Grandes,4212403,Criciúma,Tubarão,Sul Catarinense
PENHA,SC,Penha,4212502,Blumenau,Itajaí,Vale do Itajaí
PERITIBA,SC,Peritiba,4212601,Chapecó,Concórdia,Oeste Catarinense
PESCARIA BRAVA,SC,Pescaria Brava,4212650,Criciúma,Tubarão,Sul Catarinense
PETROLANDIA,SC,Petrolândia,4212700,Blumenau,Ituporanga,Vale do Itajaí
BALNEARIO PICARRAS,SC,Balneário Piçarras,4212809,Blumenau,Itajaí,Vale do Itajaí
PINHALZINHO,SC,Pinhalzinho,4212908,Chapecó,Chapecó,Oeste Catarinense
PINHEIRO PRETO,SC,Pinheiro Preto,4213005,Caçador,Videira,Oeste Catarinense
PIRATUBA,SC,Piratuba,4213104,Chapecó,Concórdia,Oeste Catarinense
PLANALTO ALEGRE,SC,Planalto Alegre,4213153,Chapecó,Chapecó,Oeste Catarinense
POMERODE,SC,Pomerode,4213203,Blumenau,Blumenau,Vale do Itajaí
PONTE ALTA,SC,Ponte Alta,4213302,Lages,Lages,Serrana
PONTE ALTA DO NORTE,SC,Ponte Alta do Norte,4213351,Lages,Curitibanos,Serrana
PONTE SERRADA,SC,Ponte Serrada,4213401,Chapecó,Xanxerê,Oeste Catarinense
PORTO BELO,SC,Porto Belo,4213500,Blumenau,Itajaí,Vale do Itajaí
PORTO UNIAO,SC,Porto União,4213609,Joinville,Mafra,Norte Catarinense
POUSO REDONDO,SC,Pouso Redondo,4213708,Blumenau,Rio do Sul,Vale do Itajaí
PRAIA GRANDE,SC,Praia Grande,4213807,Criciúma,Araranguá,Sul Catarinense
PRESIDENTE CASTELLO BRANCO,SC,Presidente Castello Branco,4213906,Chapecó,Concórdia,Oeste Catarinense
PRESIDENTE GETULIO,SC,Presidente Getúlio,4214003,Blumenau,Ibirama - Presidente Getúlio,Vale do Itajaí
PRESIDENTE NEREU,SC,Presidente Nereu,4214102,Blumenau,Rio do Sul,Vale do Itajaí
PRINCESA,SC,Princesa,4214151,Chapecó,São Miguel do Oeste,Oeste Catarinense
QUILOMBO,SC,Quilombo,4214201,Chapecó,Chapecó,Oeste Catarinense
RANCHO QUEIMADO,SC,Rancho Queimado,4214300,Florianópolis,Florianópolis,Grande Florianópolis
RIO DAS ANTAS,SC,Rio das Antas,4214409,Caçador,Videira,Oeste Catarinense
RIO DO CAMPO,SC,Rio do Campo,4214508,Blumenau,Rio do Sul,Vale do Itajaí
RIO DO OESTE,SC,Rio do Oeste,4214607,Blumenau,Rio do Sul,Vale do Itajaí
RIO DOS CEDROS,SC,Rio dos Cedros,4214706,Blumenau,Blumenau,Vale do Itajaí
RIO DO SUL,SC,Rio do Sul,4214805,Blumenau,Rio do Sul,Vale do Itajaí
RIO FORTUNA,SC,Rio Fortuna,4214904,Criciúma,Tubarão,Sul Catarinense
RIO NEGRINHO,SC,Rio Negrinho,4215000,Joinville,São Bento do Sul - Rio Negrinho,Norte Catarinense
RIO RUFINO,SC,Rio Rufino,4215059,Lages,Lages,Serrana
RIQUEZA,SC,Riqueza,4215075,Chapecó,Chapecó,Oeste Catarinense
RODEIO,SC,Rodeio,4215109,Blumenau,Blumenau,Vale do Itajaí
ROMELANDIA,SC,Romelândia,4215208,Chapecó,São Miguel do Oeste,Oeste Catarinense
SALETE,SC,Salete,4215307,Blumenau,Rio do Sul,Vale do Itajaí
SALTINHO,SC,Saltinho,4215356,Chapecó,Maravilha,Oeste Catarinense
SALTO VELOSO,SC,Salto Veloso,4215406,Caçador,Videira,Oeste Catarinense
SANGAO,SC,Sangão,4215455,Criciúma,Tubarão,Sul Catarinense
SANTA CECILIA,SC,Santa Cecília,4215505,Lages,Curitibanos,Serrana
SANTA HELENA,SC,Santa Helena,4215554,Chapecó,São Miguel do Oeste,Oeste Catarinense
SANTA ROSA DE LIMA,SC,Santa Rosa de Lima,4215604,Criciúma,Tubarão,Sul Catarinense
SANTA ROSA DO SUL,SC,Santa Rosa do Sul,4215653,Criciúma,Araranguá,Sul Catarinense
SANTA TEREZINHA,SC,Santa Terezinha,4215679,Blumenau,Rio do Sul,Norte Catarinense
SANTA TEREZINHA DO PROGRESSO,SC,Santa Terezinha do Progresso,4215687,Chapecó,Maravilha,Oeste Catarinense
SANTIAGO DO SUL,SC,Santiago do Sul,4215695,Chapecó,Chapecó,Oeste Catarinense
SANTO AMARO DA IMPERATRIZ,SC,Santo Amaro da Imperatriz,4215703,Florianópolis,Florianópolis,Grande Florianópolis
SAO BERNARDINO,SC,São Bernardino,4215752,Chapecó,São Lourenço do Oeste,Oeste Catarinense
SAO BENTO DO SUL,SC,São Bento do Sul,4215802,Joinville,São Bento do Sul - Rio Negrinho,Norte Catarinense
SAO BONIFACIO,SC,São Bonifácio,4215901,Florianópolis,Florianópolis,Grande Florianópolis
SAO CARLOS,SC,São Carlos,4216008,Chapecó,Chapecó,Oeste Catarinense
SAO CRISTOVAO DO SUL,SC,São Cristóvão do Sul,4216057,Lages,Curitibanos,Serrana
SAO DOMINGOS,SC,São Domingos,4216107,Chapecó,Xanxerê,Oeste Catarinense
SAO FRANCISCO DO SUL,SC,São Francisco do Sul,4216206,Joinville,Joinville,Norte Catarinense
SAO JOAO DO OESTE,SC,São João do Oeste,4216255,Chapecó,São Miguel do Oeste,Oeste Catarinense
SAO JOAO BATISTA,SC,São João Batista,4216305,Blumenau,Brusque,Grande Florianópolis
SAO JOAO DO ITAPERIU,SC,São João do Itaperiú,4216354,Joinville,Joinville,Vale do Itajaí
SAO JOAO DO SUL,SC,São João do Sul,4216404,Criciúma,Araranguá,Sul Catarinense
SAO JOAQUIM,SC,São Joaquim,4216503,Lages,Lages,Serrana
SAO JOSE,SC,São José,4216602,Florianópolis,Florianópolis,Grande Florianópolis
SAO JOSE DO CEDRO,SC,São José do Cedro,4216701,Chapecó,São Miguel do Oeste,Oeste Catarinense
SAO JOSE DO CERRITO,SC,São José do Cerrito,4216800,Lages,Lages,Serrana
SAO LOURENCO DO OESTE,SC,São Lourenço do Oeste,4216909,Chapecó,São Lourenço do Oeste,Oeste Catarinense
SAO LUDGERO,SC,São Ludgero,4217006,Criciúma,Tubarão,Sul Catarinense
SAO MARTINHO,SC,São Martinho,4217105,Criciúma,Tubarão,Sul Catarinense
SAO MIGUEL DA BOA VISTA,SC,São Miguel da Boa Vista,4217154,Chapecó,Maravilha,Oeste Catarinense
SAO MIGUEL DO OESTE,SC,São Miguel do Oeste,4217204,Chapecó,São Miguel do Oeste,Oeste Catarinense
SAO PEDRO DE ALCANTARA,SC,São Pedro de Alcântara,4217253,Florianópolis,Florianópolis,Grande Florianópolis
